,ci_name,location_full
0,A200D11A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D11
1,A200D11B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D11
2,A200D12A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D12
3,A200D12B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D12
4,A200D22A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D22
5,A200D22B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D22
6,A200D23A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D23
7,A200D23B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D23
8,A200D24A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24
9,A200D24B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24
10,A200H06A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H6
11,A200H06B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H6
12,A200L06A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/L6
13,A200L06B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/L6
14,A200P03A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/P3
15,A200P03B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/P3
16,A208R01A,AMERICA/USA/GURNEE/GURNEE IL 60031
17,A210R01A,AMERICA/USA/KEOKUK
18,A235L06A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L06
19,A235L06B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L06
20,A235L07A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L07
21,A235L07B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L07
22,A235L09A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09
23,A235L09B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09
24,A235P06A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P6
25,A235P06B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P6
26,A235P07A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P7
27,A235P07B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P7
28,A235V06A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V6
29,A235V10A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V10
30,A235V10B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V10
31,A235Y04A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y4
32,A235Y04B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y4
33,A235Y07A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y7
34,A235Y07B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y7
35,A252R01A,ASIA/CHINA/SHANGHAI/RGMT/K.WAH OFFICE
36,A256R01A,ASIA/KOREA/KOREA OFFICE
37,A256R01B,ASIA/KOREA/KOREA OFFICE
38,A260R01A,ASIA/CHINA/ST-PLANT/BLD19#A
39,A260R01B,ASIA/CHINA/ST-PLANT/BLD19#A
40,A260R03A,ASIA/CHINA/ST-PLANT/BLD19#A
41,A260R03B,ASIA/CHINA/ST-PLANT/BLD19#A
42,AU65R01A,AMERICA/CANADA/PORTAGE LA PRAIRIE/[[MAIN GUARD HOUSE 1 & TRUCKS RECEPTION]]/[[I.T. ROOM]]/[[IT Rack 4]]
43,AU70R01A,AMERICA/CANADA/PORTAGE LA PRAIRIE/[[ADMIN BUILDING]]/[[I.T. Room]]/[[[IT Rack 4]]
44,AU70R02A,AMERICA/CANADA/PORTAGE LA PRAIRIE/[[ADMIN BUILDING]]/[[I.T. Room]]/[[[IT Rack 4]]
45,B103V02,EUROPE/FRANCE/VECQUEMONT
46,B103V02_T,EUROPE/FRANCE/VECQUEMONT
47,B118V02,EUROPE/FRANCE/VIC SUR AISNE
48,B118V02_T,EUROPE/FRANCE/VIC SUR AISNE
49,B130V07,EUROPE/FRANCE/LA MADELEINE
