,incident_number,description,category_full,ci_name,owner_group,urgency,priority,sla
483,I230426_000001,"Trigger: *.extranet.roquette.com - Days left until 30 expires
Responsible team: {EVENT.TAGS.RT}
Trigger description: 
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Exchange
Host: S101X01X
Host group: EXCH, Exchange/Lestrem, Lestrem/Exchange
Host description: 
Zabbix event ID: 1060797202",Incidents/Infrastructure/System/Exchange On'prem,S101X01X,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
484,I230405_000187,"Trigger: High CPU utilization (used > 95%)
Responsible team: CORP_ISC_Wintel
Trigger description: CPU utilization is too high. The system might be slow to respond.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CPU, RT:CORP_ISC_Wintel
Host: S101A903
Host group: Lestrem/Windows, REPA, Windows/Lestrem
Host description: 
Zabbix event ID: 1042181791",Incidents/Infrastructure/System/Server,S101A903,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
485,I230403_000003,"Trigger: High memory utilization (used > 95%)
Responsible team: CORP_ISC_NIX
Trigger description: The system is running out of free memory.
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Memory, RT:CORP_ISC_NIX
Host: SESP01B
Host group: Lestrem/Linux, Linux/Lestrem, SARE
Host description: 
Zabbix event ID: 1039838121",Incidents/Infrastructure/ERP/Backup,SESP01B,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
486,I230402_000004,"Trigger: High memory utilization (>90% for 5m)
Responsible team: CORP_ISC_NIX
Trigger description: The system is running out of free memory.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Memory, RT:CORP_ISC_NIX
Host: SVTP99A
Host group: Linux/Vecquemont, Vecquemont/Linux, ZABX
Host description: 
Zabbix event ID: 1038991556",Incidents/Infrastructure/Network/Monitoring,SVTP99A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
487,I230404_000124,"Trigger: https://www.roquette.com/ is down
Responsible team: CORP_ISC_Network
Trigger description: 
Trigger severity: Disaster
Trigger nseverity: 5
Trigger tags: RT:CORP_ISC_Network
Host: SAEUA02C
Host group: Azure/Linux, Linux/Azure, ZABX
Host description: 
Zabbix event ID: 1041036673",Incidents/Infrastructure/System/Server,SAEUA02C,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
488,I230405_000008,"Trigger: High memory utilization (>90% for 5m)
Responsible team: CORP_ISC_NIX
Trigger description: The system is running out of free memory.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Memory, RT:CORP_ISC_NIX
Host: SWTP98A
Host group: Linux/Vic Sur Aisne, Vic Sur Aisne/Linux, ZABX
Host description: 
Zabbix event ID: 1041813289",Incidents/Infrastructure/Network/Monitoring,SWTP98A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
489,I230405_000146,"Trigger: SD-WAN LAN OR HA Interface Gi1/0/1(SDW917A_p1_LAN) goes Down
Responsible team: {EVENT.TAGS.RT}
Trigger description: This trigger expression works as follows:
1. Can be triggered if operations status is down.
2. 1=1 - user can redefine Context macro to value - 0. That marks this interface as not important. No new trigger will be fired if this interface is down.
3. {TEMPLATE_NAME:METRIC.diff()}=1) - trigger fires only if operational status was up(1) sometime before. (So, do not fire 'ethernal off' interfaces.)
WARNING: if closed manually - won't fire again on next poll, because of .diff.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Interface Gi1/0/1(SDW917A_p1_LAN)
Host: SWE917A
Host group: Ciry Salsogne/Network, GIGA, Network/Ciry Salsogne
Host description: 
Zabbix event ID: 1042099299",Incidents/Infrastructure/Network/LAN,SWE917A,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
492,I230403_000214,"Trigger: Event ID - 1059 Event - The DHCP service failed to see a directory server for authorization.
Responsible team: CORP_ISC_Wintel
Trigger description: The DHCP service failed to see a directory server for authorization.
Opened at: 1680524
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: App_Source:Microsoft-Windows-DHCP-Server, Application:Event log System, EVENT_ID:1059, Host:S101A10T, Opened at:1680524, RT:CORP_ISC_Wintel
Host: S101A10T
Host group: AD_E(DHCP)ProjetIPAM, Lestrem/Windows, Windows/Lestrem
Host description: 
Zabbix event ID: 1040324767",Incidents/Infrastructure/System/Server,S101A10T,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
493,I230412_000252,"Trigger: ""WfService"" (WfService) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S201A161
Host group: ADOC, Cassano Spinola/Windows, Windows/Cassano Spinola
Host description: 
Zabbix event ID: 1048608231",Incidents/Infrastructure/System/Server,S201A161,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
494,I230406_000246,"Trigger: DNS Server Event ID - 4004 Event - The DNS server was unable to complete directory service enumeration of zone 129.10.in-addr.arpa.  This DNS server is configured to use information obtained from Active Directory for this zone and is unable to load the zone without it.  Check that the Active Directory is functioning properly and repeat enumeration of the zone. The extended error debug information (which may be empty) is """". The event data contains the error.
Responsible team: CORP_ISC_Wintel
Trigger description: The DNS server was unable to complete directory service enumeration of zone 129.10.in-addr.arpa.  This DNS server is configured to use information obtained from Active Directory for this zone and is unable to load the zone without it.  Check that the Active Directory is functioning properly and repeat enumeration of the zone. The extended error debug information (which may be empty) is """". The event data contains the error.
Opened at: 1680814
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: App_Source:Microsoft-Windows-DNS-Server-Service, Application:Event log DNS, EVENT_ID:4004, Host:S210T01A, Opened at:1680814, RT:CORP_ISC_Wintel
Host: S210T01A
Host group: AD_E, Keokuk/Windows, Windows/Keokuk
Host description: 
Zabbix event ID: 1043373001",Incidents/Infrastructure/System/Domain controler,S210T01A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
495,I230405_000003,"Trigger: Host has been restarted (uptime < 15m)
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Status, RT:CORP_ISC_Wintel
Host: S101A730
Host group: Lestrem/Windows, RINT, Windows/Lestrem
Host description: 
Zabbix event ID: 1041730193",Incidents/Infrastructure/System/Print,S101A730,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
496,I230421_000119,"Trigger: DNS Server Event ID - 4016 Event - The DNS server timed out attempting an Active Directory service operation on DC=C130P0KR,DC=roquette.corp.priv,cn=MicrosoftDNS,DC=DomainDnsZones,DC=roquette,DC=corp,DC=priv.  Check Active Directory to see that it is functioning properly. The event data contains the error.
Responsible team: CORP_ISC_Wintel
Trigger description: The DNS server timed out attempting an Active Directory service operation on DC=C130P0KR,DC=roquette.corp.priv,cn=MicrosoftDNS,DC=DomainDnsZones,DC=roquette,DC=corp,DC=priv.  Check Active Directory to see that it is functioning properly. The event data contains the error.
Opened at: 1682069
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: App_Source:Microsoft-Windows-DNS-Server-Service, Application:Event log DNS, EVENT_ID:4016, Host:S101T02A, Opened at:1682069, RT:CORP_ISC_Wintel
Host: S101T02A
Host group: AD_E, Lestrem/Windows, Windows/Lestrem
Host description: 
Zabbix event ID: 1056593643",Incidents/Infrastructure/System/Domain controler,S101T02A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
497,I230422_000019,"Trigger: Job JOBS.SARE.FEX_0053_WAFS_DAILY_BACKUP; in workflow SARE.FEX_0053_101_D_WAFS_PROD_S221V100; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;SARE.FEX_0053_101_D_WAFS_PROD_S221V100;JOBP;0426947959;JOBS.SARE.FEX_0053_WAFS_DAILY_BACKUP;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;SARE.FEX_0053_101_D_WAFS_PROD_S221V100;JOBP;0426947959;JOBS.SARE.FEX_0053_WAFS_DAILY_BACKUP;P3, Opened at:1682135, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1057275305",Incidents/Infrastructure/ERP/Scheduling/One Automation,S101A779,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
