prediction_id,incident_number,creation_date,description,category_full,ci_name,location_full,cluster_number,problem_title,model
vYmsXkyqbygtXq,I230417_000273,18/04/2023 02:29,"Trigger: SAP Solman detect problem on HRP~ABAP such as IDoc Errors
Responsible team: CORP_ISC_SAP
Trigger description: 20230417224854;HRP~ABAP;005056A5D24B1EDDB7AC28A57B21B1F0;IDoc Errors;Medium;Errors have been detected during IDoc processing in the system.
Opened at: 1681764
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681764, RT:CORP_ISC_SAP, TriggerValue:HRP~ABAP such as IDoc Errors
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1053360538",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-VMW-101,29,"Recurring Critical Events and System Instability Across SAP Host Agents, Oracle Backups, and ITESOFT Instances",kmeans_30
VlVMDmDQbfyvSz,I230429_000056,29/04/2023 23:01,"Trigger: SAP Solman detect problem on s201a157 such as EVENT_ID_1587
Responsible team: CORP_ISC_SAP
Trigger description: 20230429192029;s201a157;005056A5D24B1EDDB9D644709900F75C;EVENT_ID_1587;Critical;
Opened at: 1682788
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1682788, RT:CORP_ISC_SAP, TriggerValue:s201a157 such as EVENT_ID_1587
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1064181524",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-VMW-101,29,"Recurring Critical Events and System Instability Across SAP Host Agents, Oracle Backups, and ITESOFT Instances",kmeans_30
iHVtuocybqPSnW,I230422_000093,23/04/2023 02:27,"Trigger: SAP Solman detect problem on s260a70 such as EVENT_ID_1945
Responsible team: CORP_ISC_SAP
Trigger description: 20230422224658;s260a70;005056A5D24B1EDDB8A9DA8A7A28DB91;EVENT_ID_1945;Critical;
Opened at: 1682196
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1682196, RT:CORP_ISC_SAP, TriggerValue:s260a70 such as EVENT_ID_1945
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1057889968",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-VMW-101,29,"Recurring Critical Events and System Instability Across SAP Host Agents, Oracle Backups, and ITESOFT Instances",kmeans_30
pw7d1SVlnaxZWY,I230427_000036,27/04/2023 12:15,"Trigger: Process h21archive != 14
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:h21archive, Host:S260A181, RT:CORP_ISC_Wintel
Host: S260A181
Host group: ST/Windows, TMES, Windows/ST
Host description: 
Zabbix event ID: 1061949823",Incidents/Infrastructure/System/Manufacturing Apps,S260A181,ASIA/CHINA/ST-PLANT/CLU-GEO-260,27,Persistent Service Disruptions and Backup Failures Across Various IT Infrastructure Components,kmeans_30
BeGVFPhDZ5J84s,I230428_000234,28/04/2023 22:15,"Trigger: ""NetBackup Remote Manager and Monitor Service"" (NetBackup Remote Manager and Monitor Service) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S202S11
Host group: Benifayo Espana/Windows, SARE, Windows/Benifayo Espana
Host description: 
Zabbix event ID: 1063161389Trigger: E: Disk space is low (used > 85%)
Responsible team: CORP_ISC_Wintel
Trigger description: Space used >85
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Filesystem E:, FSNAME:E:, RT:CORP_ISC_Wintel, Severity:Warning
Host: S202S11
Host group: Benifayo Espana/Windows, SARE, Windows/Benifayo Espana
Host description: 
Zabbix event ID: 1058219868",Incidents/Infrastructure/ERP/Backup,S202S11,EUROPE/SPAIN/BENIFAYO ESPANA/CLU-GEO-202,27,Persistent Service Disruptions and Backup Failures Across Various IT Infrastructure Components,kmeans_30
kxOrnZTFkZZRIS,I230424_000311,25/04/2023 03:51,"Trigger: Interface Gi0/3(C951C00G): VLAN has been changed to 888
Responsible team: {EVENT.TAGS.RT}
Trigger description: 
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:Interface Gi0/3(C951C00G)
Host: SWEU23A
Host group: GIGA, Keokuk/Network, Network/Keokuk
Host description: 
Zabbix event ID: 1059793792",Incidents/Infrastructure/Network/LAN,SWEU23A,AMERICA/USA/KEOKUK/FT MADISON IA 52627,18,Unplanned VLAN 888 Configuration Changes Across Multiple Network Interfaces,kmeans_30
gGGf2R9eOOjqQ7,I230419_000109,19/04/2023 13:52,"Trigger: Interface VLAN_108(): Link down
Responsible team: {EVENT.TAGS.RT}
Trigger description: This trigger expression works as follows:
1. Can be triggered if operations status is down.
2. 1=1 - user can redefine Context macro to value - 0. That marks this interface as not important. No new trigger will be fired if this interface is down.
3. {TEMPLATE_NAME:METRIC.diff()}=1) - trigger fires only if operational status was up(1) sometime before. (So, do not fire 'ethernal off' interfaces.)
WARNING: if closed manually - won't fire again on next poll, because of .diff.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Interface VLAN_108()
Host: FWE999
Host group: Crest/Network, FWEB, Network/Crest
Host description: 
Zabbix event ID: 1054767599Trigger: Location Crest unavailable
Responsible team: CORP_ISC_Network
Trigger description: Network device FWE999 is not responding to ICMP request.
Trigger severity: Disaster
Trigger nseverity: 5
Trigger tags: Application:Location, RT:CORP_ISC_Network
Host: SAEUA02C
Host group: Azure/Linux, Linux/Azure, ZABX
Host description: 
Zabbix event ID: 1054329912----Closed automatically after 10 days",Incidents/Infrastructure/Network/Firewall,FWE999,INDIA/INDIA/CREST,17,Widespread Network Interface Link Failures Across Multiple Devices and Locations,kmeans_30
IJOI9Hp8oeUKFN,I230420_000059,20/04/2023 12:55,"Trigger: Unavailable by ICMP ping
Responsible team: CORP_ISC_Network
Trigger description: 
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Status, RT:CORP_ISC_Network
Host: WAPD05C
Host group: Network/Wuhan, WIFI, Wuhan/Network
Host description: 
Zabbix event ID: 1055629071Trigger: Unavailable by ICMP ping
Responsible team: CORP_ISC_Network
Trigger description: 
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Status, RT:CORP_ISC_Network
Host: WAPD05B
Host group: Network/Wuhan, WIFI, Wuhan/Network
Host description: 
Zabbix event ID: 1055629015----Closed automatically after 10 days",Incidents/Infrastructure/Network/WIFI,WAPD05C,ASIA/CHINA/WUHAN,16,Widespread Network Connectivity Issues and High ICMP Ping Loss Across Multiple Locations,kmeans_30
DdLTNVRBhtmAY5,I230430_000035,30/04/2023 18:25,"Trigger: High ICMP ping loss
Responsible team: CORP_ISC_Storage_Backup
Trigger description: Last value: 0 %.
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Status, RT:CORP_ISC_Storage_Backup
Host: BAI2005
Host group: Lestrem/Storage, STOC, Storage/Lestrem
Host description: 
Zabbix event ID: 1064935332Trigger: High ICMP ping loss
Responsible team: CORP_ISC_Storage_Backup
Trigger description: Last value: 0 %.
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Status, RT:CORP_ISC_Storage_Backup
Host: BAI2355
Host group: Lestrem/Storage, STOC, Storage/Lestrem
Host description: 
Zabbix event ID: 1064934115",Incidents/Infrastructure/ERP/Storage,BAI2005,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H16,16,Widespread Network Connectivity Issues and High ICMP Ping Loss Across Multiple Locations,kmeans_30
xVoqiiaSsJ1OB1,I230414_000270,14/04/2023 21:41,"Trigger: SAP Solman detect problem on M10~JAVA~s101a229_M10_11 such as P101P0Z2
Responsible team: CORP_ISC_SAP
Trigger description: 20230414180009;M10~JAVA~s101a229_M10_11;005056A5D24B1EDDB6DBADED0A5DDDB7;P101P0Z2;Critical;
Opened at: 1681488
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1681488, RT:CORP_ISC_SAP, TriggerValue:M10~JAVA~s101a229_M10_11 such as P101P0Z2
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1050280721",Incidents/Infrastructure/ERP/SAP/SSM,SEAP50S,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-VMW-101,15,Recurring Critical Incidents in SAP Solman for Host SEAP50S related to JAVA Stack on Multiple Servers,kmeans_30
